,director,director_id
957,Clarence Brown,957
958,George Cukor,958
959,Donald Crisp,959
960,Jean Cocteau,960
961,Dorothy Arzner,961
962,Lionel Barrymore,962
963,Charles Brabin,963
964,Mervyn LeRoy,964
965,George Archainbaud,965
966,Louis Wolheim,966
967,Paul L. Stein,967
968,John G. Adolfi,968
969,Sam Wood,969
970,Lloyd Bacon,970
971,Frank Lloyd,971
972,Frank Borzage,972
973,Yasujirô Ozu,973
974,Benjamin Stoloff,974
975,René Clair,975
976,John Francis Dillon,976
977,John Cromwell,977
978,William A. Seiter,978
979,Alfred E. Green,979
980,John Cromwell,980
981,Jack Conway,981
982,Roy Del Ruth,982
983,John Cromwell,983
984,Mervyn LeRoy,984
985,Frank Tuttle,985
986,William A. Seiter,986
987,Jack Conway,987
988,John Ford,988
989,Ludwig Berger,989
990,George Cukor,990
991,Edgar Selwyn,991
992,Fred Niblo,992
993,Sam Wood,993
994,Georg Wilhelm Pabst,994
995,Thornton Freeland,995
996,Archie Mayo,996
997,Edward F. Cline,997
998,Monta Bell,998
999,Aleksandr Dovzhenko,999
1000,Luis Buñuel,1000
1001,Marion Gering,1001
1002,Ardeshir Irani,1002
1003,John G. Adolfi,1003
1004,Bud Pollard,1004
1005,Sam Taylor,1005
1006,Josef von Sternberg,1006
1007,Wesley Ruggles,1007
1008,John Ford,1008
1009,Lowell Sherman,1009
1010,Robert Z. Leonard,1010
1011,Frank Borzage,1011
1012,Hobart Henley,1012
1013,Roy Del Ruth,1013
1014,Melville W. Brown,1014
1015,Karl Hartl,1015
1016,Phil Jutzi,1016
1017,William A. Seiter,1017
1018,Fred Niblo,1018
1019,Hamilton MacFadden,1019
1020,Roy Del Ruth,1020
1021,Hanns Schwarz,1021
1022,Paul L. Stein,1022
1023,John Ford,1023
1024,Mervyn LeRoy,1024
1025,James W. Horne,1025
1026,William A. Seiter,1026
1027,King Vidor,1027
1028,Allan Dwan,1028
1029,Hamilton MacFadden,1029
1030,George Abbott,1030
1031,Jean Renoir,1031
1032,Stuart Paton,1032
1033,Wesley Ruggles,1033
1034,Charles Chaplin,1034
1035,Rouben Mamoulian,1035
1036,Anatole Litvak,1036
1037,Paul L. Stein,1037
1038,David Butler,1038
1039,Paul Sloane,1039
1040,Roland West,1040
1041,Edward F. Cline,1041
1042,Howard Hawks,1042
1043,W.S. Van Dyke,1043
1044,Alfred Santell,1044
1045,Harry Beaumont,1045
1046,Jack Conway,1046
1047,Lloyd Corrigan,1047
1048,Jacques Feyder,1048
1049,David Butler,1049
1050,Robert Milton,1050
1051,Frank Capra,1051
1052,William K. Howard,1052
1053,Tod Browning,1053
1054,George Melford,1054
1055,Georg Wilhelm Pabst,1055
1056,George B. Seitz,1056
1057,Jack Conway,1057
1058,Frank Lloyd,1058
1059,George Melford,1059
1060,Mervyn LeRoy,1060
1061,Gerhard Lamprecht,1061
1062,Clyde Bruckman,1062
1063,Hobart Henley,1063
1064,Stuart Walker,1064
1065,Lloyd Bacon,1065
1066,Otto Brower,1066
1067,Abel Gance,1067
1068,John Francis Dillon,1068
1069,Mervyn LeRoy,1069
1070,Robert Z. Leonard,1070
1071,Charles Reisner,1071
1072,James Whale,1072
1073,Clarence Brown,1073
1074,Victor Schertzinger,1074
1075,Lewis Milestone,1075
1076,B. Reeves Eason,1076
1077,Richard Boleslawski,1077
1078,Mervyn LeRoy,1078
